ID;HexCode;Description;ContrastChk
1;#0C090A;Night;0
2;#34282C;Charcoal;0
3;#3B3131;Oil;0
4;#3A3B3C;Dark Gray;0
5;#454545;Light Black;0
6;#413839;Black Cat;0
7;#3D3C3A;Iridium;0
8;#463E3F;Black Eel;0
9;#4C4646;Black Cow;0
10;#504A4B;Gray Wolf;0
11;#565051;Vampire Gray;0
12;#52595D;Iron Gray;0
13;#5C5858;Gray Dolphin;0
14;#625D5D;Carbon Gray;0
15;#666362;Ash Gray;0
16;#6D6968;Cloudy Gray;0
17;#726E6D;Smokey Gray;0
18;#736F6E;Alien Gray;0
19;#757575;Sonic Silver;0
20;#797979;Platinum Gray;0
21;#837E7C;Granite;0
22;#848482;Battleship Gray;0
23;#B6B6B4;Gray Cloud;0
25;#D1D0CE;Gray Goose;0
28;#BCC6CC;Metallic Silver;0
29;#98AFC7;Blue Gray;1
31;#6D7B8D;Rat Gray;0
32;#657383;Slate Granite Gray;0
33;#616D7E;Jet Gray;0
34;#646D7E;Mist Blue;0
35;#566D7E;Marble Blue;0
36;#737CA1;Slate Blue Grey;0
37;#728FCE;Light Purple Blue;1
38;#4863A0;Azure Blue;0
39;#2B547E;Blue Jay;0
40;#36454F;Charcoal Blue;0
41;#29465B;Dark Blue Grey;0
42;#2B3856;Dark Slate;0
43;#123456;Deep Sea Blue;0
44;#151B54;Night Blue;0
45;#151B8D;Denim Dark Blue;0
46;#15317E;Lapis Blue;0
47;#0000A0;New Midnight Blue;0
48;#0000A5;Earth Blue;0
49;#0020C2;Cobalt Blue;0
50;#0041C2;Blueberry Blue;0
51;#2916F5;Canary Blue;0
52;#0909FF;Bright Blue;1
53;#1F45FC;Blue Orchid;0
54;#2554C7;Sapphire Blue;0
55;#1569C7;Blue Eyes;0
56;#1974D2;Bright Navy Blue;0
57;#2B60DE;Balloon Blue;0
58;#2B65EC;Ocean Blue;0
59;#306EFF;Blue Ribbon;0
60;#157DEC;Blue Dress;0
61;#1589FF;Neon Blue;0
62;#368BC1;Glacial Blue Ice;0
63;#488AC7;Silk Blue;0
64;#357EC7;Windows Blue;0
65;#3090C7;Blue Ivy;0
66;#659EC7;Blue Koi;0
67;#87AFC7;Columbia Blue;0
68;#95B9C7;Baby Blue;0
69;#6698FF;Sky Blue Dress;0
70;#56A5EC;Iceberg;0
71;#38ACEC;Butterfly Blue;0
72;#3BB9FF;Midday Blue;0
73;#5CB3FF;Crystal Blue;0
74;#79BAEC;Denim Blue;0
75;#82CAFF;Day Sky Blue;0
76;#A0CFEC;Jeans Blue;0
77;#B7CEEC;Blue Angel;0
78;#B4CFEC;Pastel Blue;0
79;#ADDFFF;Light Day Blue;0
80;#C2DFFF;Sea Blue;0
81;#C6DEFF;Heavenly Blue;0
82;#BDEDFF;Robin Egg Blue;0
83;#AFDCEC;Coral Blue;0
84;#C9DFEC;Gulf Blue;0
85;#D5D6EA;Pastel Light Blue;0
86;#E3E4FA;Lavender Blue;0
87;#EBF4FA;Water;0
88;#CCFFFF;Light Slate;0
89;#9AFEFF;Electric Blue;0
90;#7DFDFE;Tron Blue;0
91;#57FEFF;Blue Zircon;0
92;#0AFFFF;Bright Cyan;0
93;#50EBEC;Celeste;0
94;#4EE2EC;Blue Diamond;0
95;#16E2F5;Bright Turquoise;0
96;#8EEBEC;Blue Lagoon;0
97;#CFECEC;Pale Blue Lily;0
98;#81D8D0;Tiffany Blue;0
99;#77BFC7;Blue Hosta;0
100;#92C7C7;Cyan Opaque;0
101;#78C7C7;Northern Lights Blue;0
102;#7BCCB5;Blue Green;0
103;#AAF0D1;Magic Mint;0
104;#93FFE8;Light Aquamarine;0
105;#48CCCD;Deep Turquoise;0
106;#46C7C7;Jellyfish;0
107;#43C6DB;Blue Turquoise;0
108;#43BFC7;Macaw Blue Green;0
109;#3EA99F;Seafoam Green;1
110;#3B9C9C;Deep Sea;0
111;#045F5F;Medium Teal;0
112;#033E3E;Deep Teal;0
113;#2C3539;Gunmetal;0
114;#3C565B;Blue Moss Green;0
115;#4C787E;Beetle Green;0
116;#5E7D7E;Grayish Turquoise;0
117;#307D7E;Greenish Blue;0
118;#348781;Aquamarine Stone;0
119;#438D80;Sea Turtle Green;0
120;#4E8975;Dull Sea Green;0
121;#306754;Deep Sea Green;0
122;#31906E;Dark Mint;0
123;#00A36C;Jade;0
124;#34A56F;Earth Green;0
125;#50C878;Emerald;0
126;#3EB489;Mint;0
127;#78866B;Camouflage Green;0
